Sci_name,Sp_name,Production_2009,Dom_level,Notes
Sciaenops ocellatus,Red drum,51 476,4,
Sebastes schlegeli,Korean rockfish,33 020,4,
Seriola spp,Amberjacks nei,20 282,4,
Silurus glanis,Wels catfish,1 427,4,
Tilapia rendalli,Redbreast tilapia,849,4,
Acipenser baerii,Siberian sturgeon,60,5,
Acipenser gueldenstaedtii,Danube sturgeon [=Oster],241,5,
Acipenser ruthenus,Sterlet sturgeon,4,5,
Acipenser stellatus,Starry sturgeon,0 0,5,
Barbonymus gonionotus,Silver barb,109 791,5,
Carassius auratus,Goldfish,2 922,5,
Carassius carassius,Crucian carp,2 057 104,5,
Coregonus lavaretus,European whitefish,747,5,
Coregonus peled,Peled,0,5,
Ctenopharyngodon idellus,Grass carp [Grass carp=(White Amur)],4 159 919,5,
Cyprinus carpio,Common carp,3 216 203,5,
Dicentrarchus labrax,European seabass,113 653,5,
Gadus morhua,Atlantic cod,22 729,5,
Huso huso,Beluga,0,5,
Hypophthalmichthys molitrix,Silver carp,4 075 115,5,
Hypophthalmichthys nobilis,Bighead carp,2 466 578,5,
Ictalurus punctatus,Channel catfish,449 753,5,
Labeo rohita,Roho labeo,1 221 828,5,
Megalobrama amblycephala,Wuchang bream,625 789,5,
Oncorhynchus kisutch,Coho(=Silver) salmon,172 730,5,
Oncorhynchus mykiss,Rainbow trout,732 432,5,
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,12 995,5,
Oreochromis niloticus,Nile tilapia,2 542 960,5,
Paralichthys olivaceus,Bastard halibut,59 328,5,
Psetta maxima,Turbot,69 557 F,5,
Salmo salar,Atlantic salmon,1 440 725,5,
Salmo trutta,Sea trout,21 376,5,
Salvelinus alpinus ,Arctic char,3 073,5,
Sparus aurata,Gilthead seabream,136 976,5,
Tinca tinca,Tench,1 430,5,
Atherina boyeri,Big-scale sand smelt,0,1,2013 add
Bolbometopon muricatum,Green humphead parrotfish,1,1,2013 add
Carangoides malabaricus,Malabar trevally,387,1,2013 add
Caranx sexfasciatus,Bigeye trevally,1,1,2013 add
Chaetodipterus faber,Atlantic spadefish,0,1,2013 add
Dicentrarchus punctatus,Spotted seabass,2,1,2013 add
Megalops atlanticus,Tarpon,0,1,2013 add
Mycteroperca bonaci,Black grouper,2,1,2013 add
Pagrus major,Japanese seabream,0,1,2013 add
Argyrosomus japonicus,Japanese meagre,130,2,2013 add
Boleophthalmus pectinirostris,Great blue spotted mudskipper,0,2,2013 add*brack&FW
Epinephelus lanceolatus,Giant grouper,36,2,2013 add
Miichthys miiuy,Mi-iuy (brown) croaker,0,2,2013 add
Seriola rivoliana,Longfin yellowtail,400,2,2013 add
Platax orbicularis,Orbicular batfish,8,3,2013 add
Takifugu obscurus,Obscure pufferfish,"4,860",3,2013 add*brack&FW
Takifugu rubripes,Tiger pufferfish,"19,359",3,2013 add
