sciname,sp_name,group ,ISSCAAP_Group,M_dscrt_late,M_dsrt_early,Binary
Ostreola conchaphila,Olympia oyster,MOLLUSCA,Oysters,0.67,0.87,Capture-based
Cyclina sinensis,Oriental cyclina,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Asaphis violascens,Pacific asaphis,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Argopecten ventricosus,Pacific calico scallop,MOLLUSCA,"Scallops, pectens",0.78,0.98,Capture-based
Crassostrea gigas,Pacific cupped oyster,MOLLUSCA,Oysters,0.73,0.93,Domesticated
Panopea generosa,Pacific geoduck,MOLLUSCA,"Clams, cockles, arkshells",0.07,0.27,Domesticated
Tresus nuttallii,Pacific horse clam,MOLLUSCA,"Clams, cockles, arkshells",0.31,0.51,Capture-based
Lyropecten subnodosus,Pacific lion's paw,MOLLUSCA,"Scallops, pectens",0.78,0.98,Capture-based
Protothaca staminea,Pacific littleneck clam,MOLLUSCA,"Clams, cockles, arkshells",0.39,0.59,Capture-based
Scrobicularia plana,Peppery furrow,MOLLUSCA,"Clams, cockles, arkshells",0.67,0.87,Capture-based
Haliotis midae,Perlemoen abalone,MOLLUSCA,"Abalones, winkles, conchs",0.20,0.40,Domesticated
Argopecten purpuratus,Peruvian calico scallop,MOLLUSCA,"Scallops, pectens",0.77,0.97,Domesticated
Venerupis pullastra,Pullet carpet shell,MOLLUSCA,"Clams, cockles, arkshells",0.45,0.65,Capture-based
Strombus gigas,Queen conch,MOLLUSCA,"Abalones, winkles, conchs",0.33,0.53,Capture-based
Aequipecten opercularis,Queen scallop,MOLLUSCA,"Scallops, pectens",0.48,0.68,Capture-based
Haliotis iris,Rainbow abalone,MOLLUSCA,"Abalones, winkles, conchs",0.52,0.72,Domesticated
Haliotis rufescens,Red abalone,MOLLUSCA,"Abalones, winkles, conchs",0.38,0.58,Domesticated
Mytilus platensis,River Plata mussel,MOLLUSCA,Mussels,0.55,0.75,Capture-based
Paphia gallus,Rooster venus,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Turbo setosus,Rough turban,MOLLUSCA,"Abalones, winkles, conchs",0.75,0.95,Capture-based
Mya arenaria,Sand gaper,MOLLUSCA,"Clams, cockles, arkshells",0.67,0.87,Capture-based
Rapana spp,Sea snails,MOLLUSCA,"Abalones, winkles, conchs",0.45,0.65,Domesticated
Crassostrea iredalei,Slipper cupped oyster,MOLLUSCA,Oysters,0.67,0.87,Domesticated
Mactra glabrata,Smooth mactra,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Perna perna,South American rock mussel,MOLLUSCA,Mussels,0.26,0.46,Capture-based
Pecten fumatus,Southern Australia scallop,MOLLUSCA,"Scallops, pectens",0.74,0.94,Capture-based
Chamelea gallina,Striped venus,MOLLUSCA,"Clams, cockles, arkshells",0.48,0.68,Capture-based
Saccostrea commercialis,Sydney cupped oyster,MOLLUSCA,Oysters,0.67,0.87,Capture-based
Haliotis tuberculata,Tuberculate abalone,MOLLUSCA,"Abalones, winkles, conchs",0.34,0.54,Domesticated
Chlamys varia,Variegated scallop,MOLLUSCA,"Scallops, pectens",0.56,0.76,Capture-based
Venus verrucosa,Warty venus,MOLLUSCA,"Clams, cockles, arkshells",0.63,0.83,Capture-based
Patinopecten yessoensis,Yesso scallop,MOLLUSCA,"Scallops, pectens",0.74,0.94,Domesticated
Tridacna crocea,Crocus giant clam,MOLLUSCA,"Clams, cockles, arkshells",0.56,0.76,Capture-based
Tridacna maxima,Elongate giant clam,MOLLUSCA,"Clams, cockles, arkshells",0.39,0.59,Capture-based
Tridacna squamosa,Fluted giant clam,MOLLUSCA,"Clams, cockles, arkshells",0.32,0.52,Capture-based
Tridacna gigas,Giant clam,MOLLUSCA,"Clams, cockles, arkshells",0.13,0.33,Capture-based
Tridacna derasa,Smooth giant clam,MOLLUSCA,"Clams, cockles, arkshells",0.19,0.39,Capture-based
