ID,Sci_Name,Common,ISSCAAP,Sp.grp,Year,Country_name,Fishing_Area,Fishing_name,CAPSUM_tonnes,AQSUM_tonnes,TOTAL_tonnes,Binary,Early_M,Late_M
Dentex dentex_Montenegro_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Montenegro,37,Mediterranean and Black Sea,11,0,11,CBA,0.41,0.21
"Dentex dentex_Portugal_Atlantic, Northeast",Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Portugal,27,"Atlantic, Northeast",8,0,8,CBA,0.41,0.21
"Dentex dentex_Spain_Atlantic, Northeast",Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Spain,27,"Atlantic, Northeast",18,0,18,CBA,0.41,0.21
"Dentex dentex_Spain_Atlantic, Eastern Central",Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Spain,34,"Atlantic, Eastern Central",79,0,79,CBA,0.41,0.21
Dentex dentex_Spain_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Spain,37,Mediterranean and Black Sea,94,0,94,CBA,0.41,0.21
Dentex dentex_Tunisia_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Tunisia,37,Mediterranean and Black Sea,255,0,255,CBA,0.41,0.21
Dentex dentex_Turkey_Mediterranean and Black Sea,Dentex dentex,Common dentex,Miscellaneous coastal fishes,finfish,2016,Turkey,37,Mediterranean and Black Sea,54,43,97,CBA,0.41,0.21
Dentex gibbosus_Croatia_Mediterranean and Black Sea,Dentex gibbosus,Pink dentex,Miscellaneous coastal fishes,finfish,2016,Croatia,37,Mediterranean and Black Sea,2,0,2,CBA,0.47,0.27
Dicentrarchus punctatus_Egypt_Mediterranean and Black Sea,Dicentrarchus punctatus,Spotted seabass,Miscellaneous coastal fishes,finfish,2016,Egypt,37,Mediterranean and Black Sea,378,0,378,CBA,0.39,0.19
"Dicentrarchus punctatus_France_Atlantic, Northeast",Dicentrarchus punctatus,Spotted seabass,Miscellaneous coastal fishes,finfish,2016,France,27,"Atlantic, Northeast",126,0,126,CBA,0.39,0.19
Dicentrarchus punctatus_Libya_Mediterranean and Black Sea,Dicentrarchus punctatus,Spotted seabass,Miscellaneous coastal fishes,finfish,2016,Libya,37,Mediterranean and Black Sea,95,0,95,CBA,0.39,0.19
"Dicentrarchus punctatus_Mauritania_Atlantic, Eastern Central",Dicentrarchus punctatus,Spotted seabass,Miscellaneous coastal fishes,finfish,2016,Mauritania,34,"Atlantic, Eastern Central",217,0,217,CBA,0.39,0.19
