,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
45,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,"Congo, Dem. Rep. of the","Atlantic, Eastern Central",57.3,50.1,66.8,117.98,117.98,117.98,60.68,51.18,67.88,0.86,0.66,347,0,1,0.17
46,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Ghana,"Atlantic, Eastern Central",2522.6,2207.2,2943,5193.5,5193.5,5193.5,2670.9,2250.5,2986.3,0.86,0.66,15275,0,1,0.17
47,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Russian Federation,"Atlantic, Eastern Central",18.7,16.3,21.8,38.42,38.42,38.42,19.72,16.62,22.12,0.86,0.66,113,0,1,0.17
48,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Sao Tome and Principe,"Atlantic, Eastern Central",1.2,1,1.4,2.38,2.38,2.38,1.18,0.98,1.38,0.86,0.66,7,0,1,0.17
49,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Senegal,"Atlantic, Eastern Central",72.8,63.7,85,149.94,149.94,149.94,77.14,64.94,86.24,0.86,0.66,441,0,1,0.17
50,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Togo,"Atlantic, Eastern Central",198.7,173.8,231.8,409.02,409.02,409.02,210.32,177.22,235.22,0.86,0.66,1203,0,1,0.17
51,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,United States of America,"Atlantic, Northwest",0.5,0.4,0.6,1.02,1.02,1.02,0.52,0.42,0.62,0.86,0.66,3,0,1,0.17
52,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,United States of America,"Atlantic, Western Central",51.8,45.4,60.5,106.76,106.76,106.76,54.96,46.26,61.36,0.86,0.66,314,0,1,0.18
53,Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,"Venezuela, Boliv Rep of","Atlantic, Western Central",401.8,351.6,468.8,827.22,827.22,827.22,425.42,358.42,475.62,0.86,0.66,2433,0,1,0.17
54,Giant trevally,Caranx ignobilis,finfish,Miscellaneous pelagic fishes,Iran (Islamic Rep. of),"Indian Ocean, Western",11060.9,9678.2,12904.3,12488.04,12488.04,12488.04,1427.14,-416.26,2809.84,0.58,0.38,20142,0,1,0.07
55,Giant trevally,Caranx ignobilis,finfish,Miscellaneous pelagic fishes,Qatar,"Indian Ocean, Western",212.5,186,247.9,239.94,239.94,239.94,27.44,-7.96,53.94,0.58,0.38,387,0,1,0.07
56,Giant trevally,Caranx ignobilis,finfish,Miscellaneous pelagic fishes,Saudi Arabia,"Indian Ocean, Western",37.9,33.1,44.2,42.78,42.78,42.78,4.88,-1.42,9.68,0.58,0.38,69,0,1,0.07
57,Bigeye trevally,Caranx sexfasciatus,finfish,Miscellaneous pelagic fishes,Saudi Arabia,"Indian Ocean, Western",39.6,34.6,46.2,62.92,62.92,62.92,23.32,16.72,28.32,0.76,0.56,143,0,1,0.16
58,Common snook,Centropomus undecimalis,finfish,Miscellaneous coastal fishes,Mexico,"Atlantic, Western Central",120.8,105.7,140.9,156.6,156.6,156.6,35.8,15.7,50.9,0.66,0.46,290,0,1,0.12
59,Common snook,Centropomus undecimalis,finfish,Miscellaneous coastal fishes,"Venezuela, Boliv Rep of","Atlantic, Western Central",1143.5,1000.5,1334.1,1482.3,1482.3,1482.3,338.8,148.2,481.8,0.66,0.46,2745,0,1,0.12
