stock_id,sci_name,sp_name,Major_Group,ISSCAAP_Group,fishing_region,bbmsy_q2.5,bbmsy_q25,bbmsy_q50,bbmsy_q75,bbmsy_q97.5,bbmsy_sd,bbmsy_mean,startbio,Bmsy,B_q50,B_q25,B_q75,year,r,k,msy,Fmsy,F_q50,ffmsy_q50,F_q25,ffmsy_q75,F_q75,ffmsy_q25,catch_2016,Dom_level,M_dsrt_early,AQ_tonnes_2016
Crassostrea_rhizophorae-Atlantic_Western Central,Crassostrea rhizophorae,Mangrove cupped oyster,MOLLUSCA,Oysters,Atlantic Western Central,0.05,0.29,0.5,0.68,0.79,0.23,0.47,22787.35,16769.71,8372.3,4835.76,11393.77,2016,0.34,33539.42,2728.87,0.17,0,0.01,0,0.01,0,0,9,CBA,0.98,1113
Crassostrea_virginica-Atlantic_Western Central,Crassostrea virginica,American cupped oyster,MOLLUSCA,Oysters,Atlantic Western Central,0.06,0.3,0.5,0.67,0.79,0.22,0.48,361247.44,499212.3,251727.7,150792.53,333156.11,2016,0.43,998424.6,98551.86,0.22,0.22,1,0.36,1.67,0.16,0.76,54320,Domestic,0.52,113335
Dentex_dentex-Atlantic_Eastern Central,Dentex dentex,Common dentex,PISCES,Miscellaneous coastal fishes,Atlantic Eastern Central,0.05,0.27,0.49,0.66,0.79,0.22,0.46,26949.43,24919.86,12100.9,6784.45,16366.51,2016,0.14,49839.73,1730.19,0.07,0.01,0.1,0.01,0.18,0.01,0.08,89,CBA,0.41,0
Dentex_dentex-Mediterranean and Black Sea,Dentex dentex,Common dentex,PISCES,Miscellaneous coastal fishes,Mediterranean and Black Sea,0.05,0.26,0.47,0.65,0.79,0.23,0.45,33581.11,26616.05,12476.2,7006.64,17307.93,2016,0.15,53232.11,1930.74,0.08,0.1,1.3,0.18,2.31,0.07,0.93,1238,CBA,0.41,44.11
Dicentrarchus_labrax-Atlantic_Northeast,Dicentrarchus labrax,European seabass,PISCES,Miscellaneous coastal fishes,Atlantic Northeast,0.61,0.75,0.93,1.12,1.36,0.22,0.95,42193.41,32805.41,30479.5,24525.73,36830.57,2016,0.37,65610.83,5851.44,0.19,0.15,0.79,0.18,0.98,0.12,0.65,4439,Domestic,0.37,3947.39
Dicentrarchus_labrax-Mediterranean and Black Sea,Dicentrarchus labrax,European seabass,PISCES,Miscellaneous coastal fishes,Mediterranean and Black Sea,0.05,0.27,0.49,0.66,0.79,0.23,0.46,21815.76,16827.5,8211.5,4574.23,11170.68,2016,0.41,33655,3195.35,0.2,0.16,0.78,0.28,1.39,0.12,0.57,1292,Domestic,0.37,181203.7
Diplodus_sargus-Mediterranean and Black Sea,Diplodus sargus,White seabream,PISCES,Miscellaneous coastal fishes,Mediterranean and Black Sea,0.61,0.74,0.91,1.1,1.36,0.22,0.93,11117.66,8730.63,7948.8,6482.24,9635.04,2016,0.5,17461.26,2070.12,0.25,0.34,1.36,0.41,1.67,0.28,1.12,2687,CBA,0.55,8.3
Eleutheronema_tetradactylum-Pacific_Northwest,Eleutheronema tetradactylum,Fourfinger threadfin,PISCES,Miscellaneous coastal fishes,Pacific Northwest,0.05,0.28,0.48,0.66,0.79,0.23,0.46,55965.58,41466.74,19911.9,11752.61,27493.2,2016,0.29,82933.47,6046.46,0.15,0.03,0.2,0.05,0.34,0.02,0.14,584,CBA,0.68,3434.06
Epinephelus_coioides-Indian Ocean_Western,Epinephelus coioides,Orange-spotted grouper,PISCES,Miscellaneous coastal fishes,Indian Ocean Western,0.61,0.74,0.99,1.25,1.39,0.26,1,27304.69,48770.09,48088.5,36296.19,61116.89,2016,0.4,97540.19,9274.74,0.2,0.27,1.33,0.35,1.76,0.21,1.05,12723,CBA,0.41,0.62
Gadus_morhua-Atlantic_Northeast,Gadus morhua,Atlantic cod,PISCES,"Cods, hakes, haddocks",Atlantic Northeast,1.21,1.34,1.37,1.39,1.4,0.06,1.35,6819570.39,6916574.74,9452849.3,9241384.33,9580640.63,2016,0.6,13833149.47,1786842.11,0.3,0.13,0.44,0.14,0.45,0.13,0.43,1255143,Domestic,0.44,509.1
Gnathanodon_speciosus-Indian Ocean_Western,Gnathanodon speciosus,Golden trevally,PISCES,Miscellaneous pelagic fishes,Indian Ocean Western,0.62,0.81,1.05,1.23,1.38,0.24,1.02,7600.47,6526.77,6820.9,5296.98,8058.64,2016,0.77,13053.54,2351.89,0.39,0.39,1.02,0.51,1.32,0.33,0.87,2688,CBA,0.74,0
Hippoglossus_hippoglossus-Atlantic_Northeast,Hippoglossus hippoglossus,Atlantic halibut,PISCES,"Flounders, halibuts, soles",Atlantic Northeast,0.04,0.26,0.47,0.65,0.79,0.23,0.45,171062.78,158160.71,74511.2,41158.44,102103.75,2016,0.08,316321.41,5966.14,0.04,0.05,1.17,0.08,2.12,0.03,0.86,3345,Domestic,0.31,1460.9
Hippoglossus_hippoglossus-Atlantic_Northwest,Hippoglossus hippoglossus,Atlantic halibut,PISCES,"Flounders, halibuts, soles",Atlantic Northwest,0.63,0.86,1.07,1.24,1.38,0.23,1.04,73298.69,78583.64,83906.3,67487.68,97521.07,2016,0.09,157167.28,3534.3,0.05,0.06,1.23,0.07,1.53,0.05,1.06,4706,Domestic,0.31,0
Konosirus_punctatus-Pacific_Northwest,Konosirus punctatus,Dotted gizzard shad,PISCES,Shads,Pacific Northwest,0.05,0.27,0.47,0.66,0.79,0.23,0.46,46001.28,41112.33,19392.2,10973.04,27163.42,2016,0.74,82224.66,15204.66,0.37,0.22,0.6,0.39,1.05,0.16,0.43,4300,CBA,0.68,390
Larimichthys_croceus-Pacific_Northwest,Larimichthys croceus,Large yellow croaker,PISCES,Miscellaneous coastal fishes,Pacific Northwest,0.05,0.35,0.54,0.69,0.79,0.21,0.51,1192964.09,821812.15,441939.3,286125.38,564435.11,2016,0.26,1643624.3,105185.38,0.13,0.24,1.82,0.36,2.81,0.18,1.42,103815,Domestic,0.66,159529
Lateolabrax_japonicus-Pacific_Northwest,Lateolabrax japonicus,Japanese seabass,PISCES,Miscellaneous coastal fishes,Pacific Northwest,0.67,1.12,1.3,1.36,1.4,0.21,1.21,22631.41,39394.28,51233.5,44259.04,53734.38,2016,0.68,78788.55,11661.7,0.34,0.18,0.54,0.21,0.62,0.17,0.51,9318,Domestic,0.46,141163.08
Lates_calcarifer-Indian Ocean_Eastern,Lates calcarifer,Barramundi(=Giant seaperch),PISCES,Miscellaneous diadromous fishes,Indian Ocean Eastern,0.04,0.25,0.45,0.65,0.79,0.23,0.44,103679.05,80919.17,36568.5,19879.13,52493.47,2016,0.29,161838.34,11528.19,0.14,0.26,1.81,0.48,3.34,0.18,1.26,9531,Domestic,0.55,18016.02
Lates_calcarifer-Pacific_Western Central,Lates calcarifer,Barramundi(=Giant seaperch),PISCES,Miscellaneous diadromous fishes,Pacific Western Central,0.61,0.69,0.82,1.01,1.25,0.19,0.85,476912.01,369276.99,304181.8,254819.12,372238.99,2016,0.35,738553.98,62675.61,0.17,0.25,1.43,0.3,1.7,0.2,1.17,75467,Domestic,0.55,31813.24
Lutjanus_argentimaculatus-Indian Ocean_Eastern,Lutjanus argentimaculatus,Mangrove red snapper,PISCES,Miscellaneous coastal fishes,Indian Ocean Eastern,0.04,0.27,0.48,0.66,0.79,0.22,0.46,21034.23,16437.86,7921.1,4518.43,10786.58,2016,0.16,32875.71,1277.09,0.08,0.17,2.12,0.3,3.72,0.12,1.56,1345,CBA,0.41,8498.17
Lutjanus_argentimaculatus-Indian Ocean_Western,Lutjanus argentimaculatus,Mangrove red snapper,PISCES,Miscellaneous coastal fishes,Indian Ocean Western,0.05,0.29,0.5,0.67,0.79,0.22,0.47,16705.87,19256.22,9694.3,5648.03,12976.17,2016,0.25,38512.43,1940.73,0.12,0.12,0.93,0.2,1.59,0.09,0.69,1121,CBA,0.41,0
Lutjanus_argentimaculatus-Pacific_Western Central,Lutjanus argentimaculatus,Mangrove red snapper,PISCES,Miscellaneous coastal fishes,Pacific Western Central,0.62,0.79,1,1.2,1.38,0.23,1,106982.03,86816.8,86810.9,68221.57,104106.66,2016,0.2,173633.6,8082.14,0.1,0.09,0.86,0.11,1.09,0.07,0.72,7349,CBA,0.41,1893.03
Lutjanus_johnii-Indian Ocean_Western,Lutjanus johnii,John's snapper,PISCES,Miscellaneous coastal fishes,Indian Ocean Western,0.61,0.79,1.05,1.26,1.39,0.25,1.03,5097.36,10070.97,10606.7,7925.23,12733.6,2016,0.81,20141.93,3922.08,0.41,0.57,1.41,0.76,1.89,0.48,1.17,6061,CBA,0.41,0
Maja_squinado-Atlantic_Northeast,Maja squinado,Spinous spider crab,CRUSTACEA,"Crabs, sea-spiders",Atlantic Northeast,0.66,0.99,1.18,1.3,1.39,0.21,1.13,38469.74,30029.48,35436.8,29803.02,38922.15,2016,0.47,60058.96,6439.21,0.23,0.18,0.78,0.21,0.92,0.16,0.71,6391,CBA,0.82,0
Megalops_atlanticus-Atlantic_Southwest,Megalops atlanticus,Tarpon,PISCES,Miscellaneous coastal fishes,Atlantic Southwest,0.05,0.28,0.51,0.67,0.79,0.22,0.47,28893.27,27149.41,13723.8,7537.31,18283.68,2016,0.13,54298.83,1702.97,0.06,0.06,0.88,0.1,1.6,0.04,0.66,780,CBA,0.31,0
Melanogrammus_aeglefinus-Atlantic_Northeast,Melanogrammus aeglefinus,Haddock,PISCES,"Cods, hakes, haddocks",Atlantic Northeast,0.07,0.32,0.54,0.71,0.79,0.22,0.5,2663569.91,2753806.66,1480279,879028.95,1947709.02,2016,0.29,5507613.33,395736.59,0.15,0.22,1.49,0.36,2.51,0.16,1.13,320373,CBA,0.50,0
Mugil_cephalus-Atlantic_Western Central,Mugil cephalus,Flathead grey mullet,PISCES,Miscellaneous coastal fishes,Atlantic Western Central,0.76,1.24,1.32,1.37,1.4,0.16,1.27,31145.26,47036.94,62159.6,58218.94,64210.53,2016,0.62,94073.88,12915.36,0.31,0.24,0.76,0.25,0.81,0.23,0.73,14584,Domestic,0.48,4.86
Mugil_cephalus-Mediterranean and Black Sea,Mugil cephalus,Flathead grey mullet,PISCES,Miscellaneous coastal fishes,Mediterranean and Black Sea,0.06,0.28,0.5,0.67,0.79,0.22,0.47,17601.63,23802.94,11876.5,6690.19,15885.36,2016,0.4,47605.89,4512.12,0.2,0.29,1.45,0.52,2.58,0.22,1.09,3482,Domestic,0.48,1212.8
Mugil_cephalus-Pacific_Northwest,Mugil cephalus,Flathead grey mullet,PISCES,Miscellaneous coastal fishes,Pacific Northwest,0.61,0.72,0.87,1.03,1.31,0.2,0.89,699513.28,527225.42,459538.1,381879.56,541270.02,2016,0.37,1054450.85,96590.73,0.19,0.25,1.35,0.3,1.63,0.21,1.15,115538,Domestic,0.48,867.52
Muraenesox_cinereus-Indian Ocean_Eastern,Muraenesox cinereus,Daggertooth pike conger,PISCES,Miscellaneous demersal fishes,Indian Ocean Eastern,0.63,0.91,1.15,1.3,1.39,0.23,1.1,31104.76,26378.12,30316.5,24077.75,34238.25,2016,0.23,52756.23,2589.06,0.12,0.08,0.71,0.1,0.89,0.07,0.63,2477,CBA,0.48,0
Muraenesox_cinereus-Pacific_Northwest,Muraenesox cinereus,Daggertooth pike conger,PISCES,Miscellaneous demersal fishes,Pacific Northwest,0.61,0.71,0.82,1,1.32,0.2,0.87,3253406.87,2549296.27,2099137.9,1799267.73,2547554.7,2016,0.18,5098592.55,217721.42,0.09,0.19,2.09,0.22,2.44,0.15,1.72,391286,CBA,0.48,0
Muraenesox_cinereus-Pacific_Western Central,Muraenesox cinereus,Daggertooth pike conger,PISCES,Miscellaneous demersal fishes,Pacific Western Central,0.62,0.82,1.02,1.21,1.38,0.23,1.01,51707.68,41970.23,42926.5,34431.25,50728.51,2016,0.24,83940.47,4730.77,0.12,0.14,1.19,0.18,1.49,0.12,1.01,6202,CBA,0.48,0
Mytilus_chilensis-Pacific_Southeast,Mytilus chilensis,Chilean mussel,MOLLUSCA,Mussels,Pacific Southeast,0.07,0.26,0.5,0.68,0.78,0.23,0.47,44354,47078.67,23668.5,12085.93,31868.87,2016,0.3,94157.35,6959.66,0.15,0.09,0.59,0.18,1.16,0.07,0.44,2129,CBA,0.88,300648
Mytilus_coruscus-Pacific_Northwest,Mytilus coruscus,Korean mussel,MOLLUSCA,Mussels,Pacific Northwest,0.05,0.28,0.46,0.66,0.77,0.21,0.45,58648.78,44522.48,20503.1,12624.01,29188.84,2016,0.26,89044.96,5742.85,0.13,0.06,0.47,0.1,0.77,0.04,0.33,1257,CBA,0.66,0
